accident_date,gender,age
1.50E+12,Male,21
1.46E+12,Female,43
1.55E+12,Male,53
1.54E+12,Male,31
1.47E+12,Male,87
1.49E+12,Male,41
1.55E+12,Male,41
1.49E+12,Female,63
1.53E+12,Male,49
1.48E+12,Male,56
1.49E+12,Female,35
1.48E+12,Male,37
1.49E+12,Female,35
1.47E+12,Female,30
1.45E+12,Male,45
1.48E+12,Male,61
1.50E+12,Male,69
1.55E+12,Male,15
1.48E+12,Male,36
1.52E+12,Male,60
1.47E+12,Male,41
1.47E+12,Male,43
1.54E+12,Male,74
1.48E+12,Female,96
1.53E+12,Male,57
1.51E+12,Male,32
1.49E+12,Male,22
1.52E+12,Male,30
1.53E+12,Male,21
1.46E+12,Male,32
1.51E+12,Male,36
1.52E+12,Male,40
1.55E+12,Male,24
1.49E+12,Male,21
1.41E+12,Male,24
1.52E+12,Female,96
1.46E+12,Male,39
1.45E+12,Male,18
1.48E+12,Male,44
1.45E+12,Male,28
1.51E+12,Female,27
1.46E+12,Male,81
1.43E+12,Female,51
1.45E+12,Male,63
1.50E+12,Male,59
1.54E+12,Male,59
1.55E+12,Male,86
1.50E+12,Male,62
1.52E+12,Male,18
1.43E+12,Male,19
1.49E+12,Male,33
1.45E+12,Female,16
1.50E+12,Male,30
1.52E+12,Male,74
1.42E+12,Female,53
1.48E+12,Female,61
1.46E+12,Male,61
1.55E+12,Male,1
1.55E+12,Male,42
1.55E+12,Male,64
1.51E+12,Male,57
1.54E+12,Female,7
1.51E+12,Female,16
1.50E+12,Male,27
1.44E+12,Male,97
1.50E+12,Male,35
1.46E+12,Male,61
1.49E+12,Male,4
1.45E+12,Male,52
1.49E+12,Male,77
1.44E+12,Male,36
1.54E+12,Female,80
1.45E+12,Male,41
1.55E+12,Female,24
1.48E+12,Female,85
1.45E+12,Male,18
1.51E+12,Female,46
1.41E+12,Male,67
1.42E+12,Male,20
1.50E+12,Male,25
1.51E+12,Male,19
1.52E+12,Male,19
1.50E+12,Female,81
1.50E+12,Male,91
1.44E+12,Male,84
1.48E+12,Male,41
1.49E+12,Female,18
1.46E+12,Male,26
1.50E+12,Male,46
1.46E+12,Female,17
1.49E+12,Male,43
1.42E+12,Female,67
1.52E+12,Female,21
1.46E+12,Male,47
1.46E+12,Male,36
1.49E+12,Male,54
1.51E+12,Male,47
1.51E+12,Male,77
1.48E+12,Male,33
1.49E+12,Male,38
1.43E+12,Male,18
1.41E+12,Male,79
1.48E+12,Female,58
1.54E+12,Male,37
1.48E+12,Female,8
1.46E+12,Female,38
1.46E+12,Male,43
1.42E+12,Female,64
1.42E+12,Male,22
1.42E+12,Male,28
1.42E+12,Male,22
1.42E+12,Male,20
