latitude,longitude,geometry,accident_date,gender,age,road_user_type,road_user_type_desc,accident_type,accident_type_desc,num_of_vehicles,lga_name,stat_div_name,node_type_desc,road_type,location_count
-38.29989934,145.7941106,Point,1540000000000,Female,72,2,Drivers,4,Collision with a fixed object,1,SOUTH GIPPSLAND,Country,Unknown,Unknown,1
-37.85231342,144.6653097,Point,1550000000000,Male,26,4,Motorcyclists,1,Collision with vehicle,2,WYNDHAM,Melbourne - West,Intersection,Local Roads,1
-35.50185218,143.65142,Point,1520000000000,Male,20,3,Passengers,4,Collision with a fixed object,1,SWAN HILL,Country,Non Intersection,Local Roads,1
-36.71293999,142.249007,Point,1480000000000,Female,51,3,Passengers,4,Collision with a fixed object,1,HORSHAM,Country,Non Intersection,Local Roads,1
-38.25108044,146.1864311,Point,1540000000000,Female,61,5,Pillion Passengers,4,Collision with a fixed object,1,BAW BAW,Country,Non Intersection,Main Roads,1
-37.29586057,146.1359549,Point,1510000000000,Male,43,1,Pedestrians,2,Struck Pedestrian,1,MANSFIELD,Country,Non Intersection,Main Roads,1
-36.14035049,146.468534,Point,1460000000000,Female,23,2,Drivers,1,Collision with vehicle,3,INDIGO,Country,Non Intersection,Main Roads,1
-38.04056363,144.356508,Point,1550000000000,Male,48,2,Drivers,1,Collision with vehicle,2,GEELONG,Country,Non Intersection,Main Roads,1
-37.53632965,144.6885841,Point,1410000000000,Male,26,4,Motorcyclists,4,Collision with a fixed object,5,HUME,Melbourne - North West,Non Intersection,Main Roads,1
-37.39043025,145.0574601,Point,1530000000000,Male,24,2,Drivers,4,Collision with a fixed object,1,MITCHELL,Country,Non Intersection,Local Roads,1
-37.64263931,143.710142,Point,1540000000000,Male,70,2,Drivers,1,Collision with vehicle,2,GOLDEN PLAINS,Ballarat,Non Intersection,Local Roads,1
-38.07278016,145.4749712,Point,1440000000000,Female,35,2,Drivers,1,Collision with vehicle,2,CARDINIA,Melbourne - South East,Non Intersection,Local Roads,1
-37.69915019,144.9598082,Point,1520000000000,Male,80,2,Drivers,1,Collision with vehicle,2,MORELAND,Melbourne - North West,Non Intersection,Main Roads,1
-37.69215948,145.0629298,Point,1530000000000,Male,84,1,Pedestrians,2,Struck Pedestrian,1,BANYULE,Melbourne - North East,Intersection,Freeway & State Highways,1
-37.76995008,144.9258713,Point,1510000000000,Male,32,4,Motorcyclists,1,Collision with vehicle,4,MOONEE VALLEY,Melbourne - Inner,Intersection,Main Roads,1
-37.69341923,144.9368199,Point,1470000000000,Male,33,1,Pedestrians,2,Struck Pedestrian,2,MORELAND,Melbourne - North West,Non Intersection,Freeway & State Highways,1
